Department	Zip Code	Cheeses	French URL	English URL	Image	Milk
Aveyron	12000	Recuite	http://fr.wikipedia.org/wiki/Recuite			Sheep
Aveyron	12000	Roquefort  	http://fr.wikipedia.org/wiki/Roquefort_%28fromage%29	http://en.wikipedia.org/wiki/Roquefort	http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Demi_Castelviel_Gabriel_Coulet.jpg/280px-Demi_Castelviel_Gabriel_Coulet.jpg	Sheep
Aveyron	12000	Société  	http://fr.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_%28marque%29		http://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Formatge_feda_roquefort.JPG/280px-Formatge_feda_roquefort.JPG	Sheep
Aveyron	12000	Tome fraîche	http://fr.wikipedia.org/wiki/Tome_fra%C3%AEche		http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Tome_fra%C3%AEche.jpg/220px-Tome_fra%C3%AEche.jpg	Cow
Bas-Rhin	67000	Munster  	http://fr.wikipedia.org/wiki/Munster_%28fromage%29	http://en.wikipedia.org/wiki/Munster_cheese	http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Munster_01.jpg/280px-Munster_01.jpg	Cow
Calvados	14000	Carré de Bonneville	http://fr.wikipedia.org/wiki/Carr%C3%A9_de_Bonneville			Cow
Calvados	14000	Pavé d'Auge	http://fr.wikipedia.org/wiki/Pav%C3%A9_d%27Auge			Cow
Calvados	14000	Pont-l'évêque  	http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29	http://en.wikipedia.org/wiki/Pont-l%27%C3%89v%C3%AAque_cheese	http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Pont-l%27%C3%89v%C3%AAque_03.jpg/280px-Pont-l%27%C3%89v%C3%AAque_03.jpg	Cow
Cantal	15000	Bleu d'Auvergne	http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne	http://en.wikipedia.org/wiki/Bleu_d%27Auvergne	http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Bleu_d%27Auvergne_01.jpg/280px-Bleu_d%27Auvergne_01.jpg	Cow
Cantal	15000	Bleu de Thiézac	http://fr.wikipedia.org/wiki/Bleu_de_Thi%C3%A9zac			Cow
Loire-Atlantique	44000	Saint-gildas-des-bois  	http://fr.wikipedia.org/wiki/Saint-gildas-des-bois_%28fromage%29			Cow
Cantal	15000	Cabécou	http://fr.wikipedia.org/wiki/Cab%C3%A9cou	http://en.wikipedia.org/wiki/Cab%C3%A9cou	http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Cab%C3%A9cou_de_l%27Aveyron.JPG/280px-Cab%C3%A9cou_de_l%27Aveyron.JPG	Goat
Cantal	15000	Cantal  	http://fr.wikipedia.org/wiki/Cantal_%28fromage%29	http://en.wikipedia.org/wiki/Cantal_cheese	http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Cantal_02.jpg/280px-Cantal_02.jpg	Cow
Cantal	15000	Carré d'Aurillac	http://fr.wikipedia.org/wiki/Carr%C3%A9_d%27Aurillac	http://en.wikipedia.org/wiki/Carr%C3%A9_d%27Aurillac		Cow
Cantal	15000	Fromage de Pays	http://fr.wikipedia.org/wiki/Fromage_de_Pays		http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Fromage_de_Pays.jpg/280px-Fromage_de_Pays.jpg	Cow
Cantal	15000	Laguiole  	http://fr.wikipedia.org/wiki/Laguiole_%28fromage%29	http://en.wikipedia.org/wiki/Laguiole_cheese	http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Laguiole_%28fromage%29_01.jpg/280px-Laguiole_%28fromage%29_01.jpg	Cow
Cantal	15000	Saint-nectaire  	http://fr.wikipedia.org/wiki/Saint-nectaire_%28fromage%29	http://en.wikipedia.org/wiki/Saint-Nectaire	http://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Saint-Nectaire.jpg/280px-Saint-Nectaire.jpg	Cow
Cantal	15000	Salers  	http://fr.wikipedia.org/wiki/Salers_%28fromage%29	http://en.wikipedia.org/wiki/Salers_cheese	http://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Salers_%28fromage%29_01.jpg/220px-Salers_%28fromage%29_01.jpg	Cow
Cantal	15000	Tome fraîche	http://fr.wikipedia.org/wiki/Tome_fra%C3%AEche		http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Tome_fra%C3%AEche.jpg/220px-Tome_fra%C3%AEche.jpg	Cow
Charente	16000	Chavroux	http://fr.wikipedia.org/wiki/Chavroux	http://en.wikipedia.org/wiki/Chavroux	http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Chavroux.jpg/280px-Chavroux.jpg	Goat
Charente	16000	Taupinette	http://fr.wikipedia.org/wiki/Taupinette		http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Taupinette.jpg/280px-Taupinette.jpg	Goat
Charente-Maritime	17000	Caillebotte  	http://fr.wikipedia.org/wiki/Caillebotte_%28fromage%29		http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Caillebotte_gel.jpg/280px-Caillebotte_gel.jpg	Cow
Charente-Maritime	17000	Jonchée  	http://fr.wikipedia.org/wiki/Jonch%C3%A9e_%28fromage%29			Cow
Charente-Maritime	17000	Tricorne de Marans	http://fr.wikipedia.org/wiki/Tricorne_de_Marans			Sheep
Cher	18000	Crottin de Chavignol	http://fr.wikipedia.org/wiki/Crottin_de_Chavignol	http://en.wikipedia.org/wiki/Crottin_de_Chavignol	http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Crottin_02.jpg/280px-Crottin_02.jpg	Goat
Cher	18000	Faisselle	http://fr.wikipedia.org/wiki/Faisselle		http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Faiselle_%26_confiture_de_lait.JPG/280px-Faiselle_%26_confiture_de_lait.JPG	Cow
Cher	18000	Santranges-sancerre	http://fr.wikipedia.org/wiki/Santranges-sancerre			Goat
Cher	18000	Valençay  	http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29	http://en.wikipedia.org/wiki/Valen%C3%A7ay_cheese	http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Valen%C3%A7ay_04.jpg/280px-Valen%C3%A7ay_04.jpg	Goat
Corrèze	19000	Bleu d'Auvergne	http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne	http://en.wikipedia.org/wiki/Bleu_d%27Auvergne	http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Bleu_d%27Auvergne_01.jpg/280px-Bleu_d%27Auvergne_01.jpg	Cow
Corrèze	19000	Ovalie  	http://fr.wikipedia.org/wiki/Ovalie_%28marque%29			Sheep
Corrèze	19000	Pavé corrézien	http://fr.wikipedia.org/wiki/Pav%C3%A9_corr%C3%A9zien		http://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Pav%C3%A9_corr%C3%A9zien.jpg/280px-Pav%C3%A9_corr%C3%A9zien.jpg	Cow
Corrèze	19000	Truffe de Ventadour	http://fr.wikipedia.org/wiki/Truffe_de_Ventadour			Goat
Côte-d'Or	21000	Affidélice	http://fr.wikipedia.org/wiki/Affid%C3%A9lice			Cow
Côte-d'Or	21000	Aisy cendré	http://fr.wikipedia.org/wiki/Aisy_cendr%C3%A9	http://en.wikipedia.org/wiki/Aisy_cendr%C3%A9		Cow
Côte-d'Or	21000	Abbaye de Cîteaux  	http://fr.wikipedia.org/wiki/Abbaye_de_C%C3%AEteaux_%28marque%29		http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Fromage_de_C%C3%AEteaux.JPG/280px-Fromage_de_C%C3%AEteaux.JPG	Cow
Côte-d'Or	21000	Époisses  	http://fr.wikipedia.org/wiki/%C3%89poisses_%28fromage%29	http://en.wikipedia.org/wiki/%C3%89poisses_de_Bourgogne	http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/%C3%89poisses_Gaugry_03.jpg/280px-%C3%89poisses_Gaugry_03.jpg	Cow
Côte-d'Or	21000	Gruyère français	http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais		http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Meules_gruyere.JPG/280px-Meules_gruyere.JPG	Cow
Côte-d'Or	21000	L'Ami du Chambertin	http://fr.wikipedia.org/wiki/L%27Ami_du_Chambertin		http://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Ami_du_Chambertin_au_lait_cru.jpg/280px-Ami_du_Chambertin_au_lait_cru.jpg	Cow
Côte-d'Or	21000	Le Trou du Cru	http://fr.wikipedia.org/wiki/Le_Trou_du_Cru	http://en.wikipedia.org/wiki/Trou_du_Cru	http://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Le_Trou_Du_Cru.jpg/280px-Le_Trou_Du_Cru.jpg	Cow
Côte-d'Or	21000	Petit Gaugry	http://fr.wikipedia.org/wiki/Petit_Gaugry		http://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Petit_Gaugry_03.jpg/280px-Petit_Gaugry_03.jpg	Cow
Dordogne	24000	Chaumes	http://fr.wikipedia.org/wiki/Chaumes	http://en.wikipedia.org/wiki/Chaumes	http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Chaumes.jpg/220px-Chaumes.jpg	Cow
Dordogne	24000	St Môret	http://fr.wikipedia.org/wiki/St_M%C3%B4ret			Cow
Dordogne	24000	Trappe Échourgnac	http://fr.wikipedia.org/wiki/Trappe_%C3%89chourgnac		http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Trappe_%C3%89chourgnac_affin%C3%A9_noix_%281%29.JPG/280px-Trappe_%C3%89chourgnac_affin%C3%A9_noix_%281%29.JPG	Cow
Doubs	25000	Gruyère français	http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais		http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Meules_gruyere.JPG/280px-Meules_gruyere.JPG	Cow
Doubs	25000	Morbier  	http://fr.wikipedia.org/wiki/Morbier_%28fromage%29	http://en.wikipedia.org/wiki/Morbier_cheese	http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Morbier_%28fromage%29_01.jpg/280px-Morbier_%28fromage%29_01.jpg	Cow
Drôme	26000	Bleu du Vercors-Sassenage	http://fr.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage	http://en.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage	http://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Bleu_du_Vercors-Sassenage_sur_le_march%C3%A9.jpg/280px-Bleu_du_Vercors-Sassenage_sur_le_march%C3%A9.jpg	Cow
Drôme	26000	Foudjou	http://fr.wikipedia.org/wiki/Foudjou		http://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Foudjou_ard%C3%A9chois.jpg/220px-Foudjou_ard%C3%A9chois.jpg	Goat
Drôme	26000	Pétafine	http://fr.wikipedia.org/wiki/P%C3%A9tafine		http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/P%C3%A9tafine_onctueuse.jpg/220px-P%C3%A9tafine_onctueuse.jpg	Goat
Drôme	26000	Picodon	http://fr.wikipedia.org/wiki/Picodon	http://en.wikipedia.org/wiki/Picodon	http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Wikicheese_-_Picodon_-_20150417_-_003.jpg/280px-Wikicheese_-_Picodon_-_20150417_-_003.jpg	Goat
Eure	27000	Le Pavé du Plessis	http://fr.wikipedia.org/wiki/Le_Pav%C3%A9_du_Plessis			Cow
Eure	27000	Pavé d'Auge	http://fr.wikipedia.org/wiki/Pav%C3%A9_d%27Auge			Cow
